filename	topic	identifier
corpus\brae006.txt	-1	brae006
corpus\brae008.txt	0	brae008
corpus\brak005.txt	0	brak005
corpus\brak024.txt	-1	brak024
corpus\brak039.txt	0	brak039
corpus\brak043.txt	0	brak043
corpus\bran012.txt	0	bran012
corpus\bran021.txt	-1	bran021
corpus\bran023.txt	0	bran023
corpus\bran024.txt	30	bran024
corpus\bran027.txt	0	bran027
corpus\bran028.txt	22	bran028
corpus\bran037.txt	0	bran037
corpus\bran055.txt	-1	bran055
corpus\bran060.txt	2	bran060
corpus\bran069.txt	-1	bran069
corpus\bran070.txt	0	bran070
corpus\bran118.txt	-1	bran118
corpus\bran124.txt	0	bran124
corpus\bran126.txt	-1	bran126
corpus\bran165.txt	-1	bran165
corpus\bras001.txt	0	bras001
corpus\brat002.txt	0	brat002
corpus\brat004.txt	-1	brat004
corpus\brau006.txt	0	brau006
corpus\bred004.txt	-1	bred004
corpus\bred081.txt	8	bred081
corpus\bree001.txt	1	bree001
corpus\bree005.txt	1	bree005
corpus\bree008.txt	-1	bree008
corpus\bree009.txt	0	bree009
corpus\bree017.txt	-1	bree017
corpus\bree018.txt	-1	bree018
corpus\breh003.txt	0	breh003
corpus\brek003.txt	1	brek003
corpus\brem012.txt	20	brem012
corpus\brem016.txt	0	brem016
corpus\brem019.txt	1	brem019
corpus\brem021.txt	-1	brem021
corpus\brem022.txt	39	brem022
corpus\brem031.txt	-1	brem031
corpus\breu003.txt	44	breu003
corpus\breu005.txt	0	breu005
corpus\breu006.txt	1	breu006
corpus\brev001.txt	-1	brev001
corpus\brey003.txt	0	brey003
corpus\brey004.txt	-1	brey004
corpus\brie004.txt	28	brie004
corpus\brie028.txt	13	brie028
corpus\brie033.txt	-1	brie033
corpus\brij001.txt	1	brij001
corpus\bril001.txt	0	bril001
corpus\bril002.txt	-1	bril002
corpus\bril011.txt	25	bril011
corpus\brin004.txt	3	brin004
corpus\brin007.txt	0	brin007
corpus\brin010.txt	-1	brin010
corpus\brin015.txt	27	brin015
corpus\brin017.txt	7	brin017
corpus\brin030.txt	1	brin030
corpus\brin032.txt	-1	brin032
corpus\brin033.txt	-1	brin033
corpus\brin068.txt	41	brin068
corpus\brin078.txt	-1	brin078
corpus\brin079.txt	11	brin079
corpus\brin109.txt	0	brin109
corpus\brin111.txt	0	brin111
corpus\brio002.txt	-1	brio002
corpus\broc004.txt	31	broc004
