filename	topic	textID
corpus_final_ids\DIE_1903_40.txt	-1	DIE_1903_40
corpus_final_ids\DIE_1903_41.txt	-1	DIE_1903_41
corpus_final_ids\DIE_1903_42.txt	131	DIE_1903_42
corpus_final_ids\DIE_1903_43.txt	0	DIE_1903_43
corpus_final_ids\DIE_1903_44.txt	0	DIE_1903_44
corpus_final_ids\DIE_1903_45.txt	0	DIE_1903_45
corpus_final_ids\DIE_1903_46.txt	0	DIE_1903_46
corpus_final_ids\DIE_1903_47.txt	69	DIE_1903_47
corpus_final_ids\DIE_1903_48.txt	1	DIE_1903_48
corpus_final_ids\DIE_1903_49.txt	221	DIE_1903_49
corpus_final_ids\DIE_1903_5.txt	-1	DIE_1903_5
corpus_final_ids\DIE_1903_50.txt	-1	DIE_1903_50
corpus_final_ids\DIE_1903_51.txt	-1	DIE_1903_51
corpus_final_ids\DIE_1903_52.txt	9	DIE_1903_52
corpus_final_ids\DIE_1903_53.txt	1	DIE_1903_53
